Word,Syllable
I'm,1
I'd,1
I've,1
I'll,1
You're,1
You'd,1
You've,1
You'll,1
He's,1
He'd,1
He'll,1
She's,1
She'd,1
She'll,1
It's,1
It'd,1
It'll,1
We're,1
We'd,1
We've,1
We'll,1
They're,1
They'd,1
They've,1
They'd,1
They'll,1
Somebody's,3
Somebody'd,3
Somebody'll,4
Someone's,2
Someone'd,2
Someone's,2
Someone'll,3
Something's,2
Something'd,3
Something's,2
Something'll,3
Who's,1
Who're,2
Who'd,1
Who've,1
Who'd,1
Who'll,2
What's,1
What're,2
What'd,2
What've,2
What'll,2
When's,1
When're,2
When'd,2
When've,2
When'd,1
When'll,2
Where's,1
Where're,2
Where'd,1
Where've,2
Where'd,1
Where'll,2
Why's,1
Why're,2
Why'd,1
Why've,2
Why'd,1
Why'll,2
How's,1
How're,2
How'd,1
How've,2
How'd,1
How'll,2
Which's,2
Which're,2
Which'd,2
Which've,2
Which'll,2
This's,2
This'd,2
This'll,2
These're,2
These'd,2
These'll,2
That's,1
That'd,2
That'll,2
Those're,2
Those'd,2
Those'll,2
Here's,1
Here're,2
Here'd,1
Here'll,2
There's,1
There're,2
There'd,1
There'll,2
Ain't,1
Isn't,2
Aren't,1
Wasn't,2
Weren't,1
Won't,1
Can't,1
Couldn't,2
Shouldn't,2
Wouldn't,2
Mightn't,2
Mustn't,2
Don't,1
Doesn't,2
Didn't,2
Haven't,2
Hasn't,2
Hadn't,2
Will've,2
Could've,2
Should've,2
Would've,2
Might've,2
Must've,2
Ma'am,1
Y'all,1
